BAS.INSTNAME,Country,BAS.WEBSITE
Universitat d'Andorra,Andora,https://www.uda.ad/
Universitat Oberta La Salle,Andora,https://www.uols.org/
Universiteti i Tiranës,Albania,http://www.unitir.edu.al/
Universiteti Politeknik i Tiranës,Albania,http://www.upt.al/en/
Universiteti Bujqësor i Tiranës,Albania,https://www.ubt.edu.al/
"Universiteti i Elbasanit ""Aleksandër Xhuvani""",Albania,https://www.uniel.edu.al
"Universiteti i Shkodrës ""Luigj Gurakuqi""",Albania,http://www.unishk.edu.al/en
"Universiteti ""Eqrem Çabej"", Gjirokastër",Albania,http://uogj.edu.al
"Universiteti ""Fan S. Noli"", Korçë",Albania,http://www.unkorce.edu.al/en
"Universiteti i Vlorës, ""Ismail Qemali""",Albania,https://univlora.edu.al/en/
"Universiteti ""Aleksandër Moisiu"", Durrës",Albania,https://uamd.edu.al/
Universiteti i Arteve,Albania,http://www.uart.edu.al/index.php?lang=2
Universiteti i Sporteve të Tiranës,Albania,http://ust.edu.al/en/
"Universiteti i Mjekësisë, Tiranë",Albania,http://umed.edu.al/?lang=en
Universiteti i New York-ut në Tiranë,Albania,http://unyt.edu.al/
"Universiteti ""Albanian University""",Albania,http://albanianuniversity.edu.al/en/home/
"Universiteti Katolik ""Zoja e Këshillit të Mirë""",Albania,https://www.unizkm.al/en/
Universiteti Europian i Tiranës,Albania,http://www.uet.edu.al/index.php/en/
"Universiteti ""Aldent""",Albania,http://ual.edu.al
Universiteti Polis,Albania,http://www.universitetipolis.edu.al/?q=en
"Universiteti ""EPOKA""",Albania,http://www.epoka.edu.al/
"Universiteti ""Mesdhetar i Shqipërisë""",Albania,http://www.umsh.edu.al/
EPITECH ALBANIA,Albania,https://www.epitech.eu
"Universiteti ""Barleti""",Albania,http://www.umb.edu.al/
"Akademia ""Nehemiah Gateway""",Albania,https://www.ng-university.org/en
Universiteti Metropolitan Tirana,Albania,https://umt.edu.al/en/home/
Akademia e Forcave të Armatosura,Albania,https://www.tradoc.mil.al/
Akademia e Sigurisë,Albania,https://scesa.al
"Akademia e Filmit dhe Multimedias ""Marubi""",Albania,http://afmm.edu.al/
Universiteti Luarasi,Albania,http://www.luarasi-univ.edu.al/
"Kolegji Universitar ""Qiriazi""",Albania,https://www.qiriazi.edu.al
"Kolegji Universitar ""WISDOM""",Albania,https://www.wisdomuniversity.eu/
Akademia IVODENT,Albania,http://www.ivodent.edu.al
"Kolegji Universitar ""Pavarësia Vlorë""",Albania,http://www.unipavaresia.edu.al
"Kolegji Universitar ""LOGOS""",Albania,http://www.kulogos.edu.al/en/
"Kolegji Universitar ""Tirana Business University""",Albania,http://www.tbu.edu.al/en
"Kolegji Universitar ""Bedër""",Albania,http://www.beder.edu.al/en/
"Kolegji Universitar ""I Biznesit""",Albania,http://kub.edu.al
"Kolegji Universitar ""REALD""",Albania,http://unireald.edu.al/
"Kolegji Universitar ""Instituti Kanadez i Teknologjisë""",Albania,http://cit.edu.al/
Kolegji Profesional i Tiranës,Albania,https://kolegjiprofesional.edu.al
Akademia e Studimeve Albanologjike,Albania,http://asa.edu.al/site/
"Kolegji Profesional i Lartë ""Tirana Esthetics and Style School""",Albania,https://tess.al/
Kolegji Profesional i Lartë Gjerman i Teknologjisë,Albania,https://kpgjt.edu.al/
"Universiteti ""Western Balkans""",Albania,https://wbu.edu.al/
Universität Wien,Austria,http://www.univie.ac.at
Universität Graz,Austria,http://www.uni-graz.at/
Universität Innsbruck,Austria,http://www.uibk.ac.at/index.html.de
Universität Salzburg,Austria,http://www.uni-salzburg.at/
Technische Universität Wien,Austria,http://www.tuwien.ac.at/
Technische Universität Graz,Austria,http://www.tugraz.at
Montanuniversität Leoben,Austria,http://www.unileoben.ac.at
Universität für Bodenkultur Wien,Austria,http://www.boku.ac.at/
Veterinärmedizinische Universität Wien,Austria,http://www.vetmeduni.ac.at/
Wirtschaftsuniversität Wien,Austria,http://www.wu.ac.at/
Universität Linz,Austria,http://www.jku.at/en/
Universität Klagenfurt,Austria,https://www.aau.at/en/
Universität für Weiterbildung Krems,Austria,http://www.donau-uni.ac.at/
Medizinische Universität Wien,Austria,http://www.meduniwien.ac.at/web/en/
Medizinische Universität Graz,Austria,http://www.medunigraz.at/en/
Medizinische Universität Innsbruck,Austria,http://www.i-med.ac.at/mypoint/
Akademie der bildenden Künste Wien,Austria,http://www.akbild.ac.at/
Universität für angewandte Kunst Wien,Austria,http://www.dieangewandte.at/
Universität für Musik und darstellende Kunst Wien,Austria,http://www.mdw.ac.at/
Universität Mozarteum Salzburg,Austria,http://www.moz.ac.at/de/
Universität für Musik und darstellende Kunst Graz,Austria,http://www.kug.ac.at/
Universität für künstlerische und industrielle Gestaltung Linz,Austria,http://www.ufg.ac.at/
Katholische Privatuniversität Linz,Austria,http://ku-linz.at/en
UMIT TIROL - Privatuniversität für Gesundheitswissenschaften und -technologie,Austria,https://www.umit-tirol.at/page.cfm?vpath=index
Paracelsus Medizinische Privatuniversität,Austria,http://www.pmu.ac.at/
Webster Vienna Private University,Austria,http://www.webster.ac.at/
Anton Bruckner Privatuniversität,Austria,http://www.bruckneruni.at/
New Design University Privatuniversität St. Pölten,Austria,http://www.ndu.ac.at/
Musik und Kunst Privatuniversität der Stadt Wien,Austria,http://www.muk.ac.at/en/home.html
Sigmund Freud Privatuniversität Wien,Austria,http://www.sfu.ac.at/
MODUL University Vienna Privatuniversität,Austria,http://www.modul.ac.at
Privatuniversität Schloss Seeburg,Austria,http://www.uni-seeburg.at/
Private Pädagogische Hochschule Stiftung Burgenland,Austria,http://www.ph-burgenland.at/
Pädagogische Hochschule Kärnten,Austria,http://www.ph-kaernten.ac.at/
Pädagogische Hochschule Niederösterreich,Austria,http://www.ph-noe.ac.at/
Pädagogische Hochschule Oberösterreich,Austria,http://www.ph-ooe.at/
Private Pädagogische Hochschule der Diözese Linz,Austria,http://www.phdl.at/
Pädagogische Hochschule Salzburg Stefan Zweig,Austria,http://www.phsalzburg.at/
Pädagogische Hochschule Steiermark,Austria,https://www.phst.at/home/
Private Pädagogische Hochschule Augustinum,Austria,http://www.kphgraz.at/
Pädagogische Hochschule Tirol,Austria,http://www.ph-tirol.ac.at/
Kirchliche Pädagogische Hochschule Edith Stein,Austria,http://www.kph-es.at/
Pädagogische Hochschule Vorarlberg,Austria,http://www.ph-vorarlberg.ac.at/
Pädagogische Hochschule Wien,Austria,http://www.phwien.ac.at/
Kirchliche Pädagogische Hochschule Wien/Krems,Austria,http://www.kphvie.ac.at
