company,estimated_revenue_eur_million,city,sectors_active,website
2G ENERGY,238,Heek,"Industrial, Electric & Electronic Machinery",http://www.2-g.de
3M DEUTSCHLAND,2753,Neuss,"Chemicals, Petroleum, Rubber & Plastic",http://www.3mdeutschland.de
50HERTZ TRANSMISSION,10767,Berlin,Utilities,http://www.50hertz.com
7DAYS GROUP,481,Frankfurt,Information Services,http://www.7days-group.com
AAREON,254,Mainz,Business Services,http://www.aareon.de
ABB,3046,Mannheim,Business Services,http://www.abb.com/de
ABB AUTOMATION,652,Mannheim,Business Services,http://www.abb.de
ABBOTT HOLDING,3461,Wiesbaden,Business Services,http://www.abbott.de
ABBVIE DEUTSCHLAND,7303,Wiesbaden,"Chemicals, Petroleum, Rubber & Plastic",http://www.abbvie.de
ABEKING & RASMUSN SCHIFFS- UND YACHTWERFT,123,Lemwerder,Transport Manufacturing,http://www.abeking.com
BERGER HOLDING,290,Memmingen,Business Services,http://www.aberger.de
ABG FRANKFURT HOLDING WOHNUNGSBAU- UND BETEILIGUNGSGES.M.B.H.,577,Frankfurt,Property Services,http://www.abg-fh.de
ANHEUSER-BUSCH INBEV GERMANY HOLDING,885,Bremen,Business Services,http://www.ab-inbev.de
AB MANAGEMENT & BETEILIGUNGSGESELLSCHAFT,354,Freiburg,Business Services,http://www.abmb.de
ABO WIND,156,Wiesbaden,"Industrial, Electric & Electronic Machinery",http://www.abowind.com
ABUS GRUNDSTUECKSVERWALTUNG & CO. KOMMANDITGESELLSCHAFT,311,Gummersbach,Property Services,http://www.abus-kransysteme.de
ACCELL GERMANY,563,Sennfeld,Transport Manufacturing,http://www.accell-group.com
ACCENTRO REAL ESTATE,143,Berlin,Property Services,http://www.accentro.ag
ACCENTURE,2078,Kronberg,Business Services,http://www.accenture.de
ACCORINVEST GERMANY,1353,Muenchen,"Travel, Personal & Leisure",http://www.accorhotels.com
ACER COMPUTER,700,Ahrensburg,Wholesale,http://www.acer.de
ACO SEVERIN AHLMANN & CO KOMMANDITGESELLSCHAFT,781,Buedelsdorf,"Leather, Stone, Clay & Glass products",http://www.aco.com
ACTION DEUTSCHLAND,459,Duesseldorf,Retail,http://www.action.de
ADAC,1199,Muenchen,Business Services,http://www.adac.de
ADCAPITAL,160,Leinfelden-Echterdingen,"Industrial, Electric & Electronic Machinery",http://www.adcapital.de
ADCO UMWELTDIENSTE HOLDING,395,Ratingen,Business Services,http://www.adco.de
ADECCO GERMANY HOLDING SA,1621,Duesseldorf,Business Services,http://www.adecco.de
ADESSO,454,Dortmund,Business Services,http://www.adesso.de
ADIDAS,23840,Herzogenaurach,Textiles & Clothing Manufacturing,http://www.adidas-group.com
ADIENT GERMANY LTD.,2684,Burscheid,Business Services,http://www.adient.com
ADLER MODEMARKTE,500,Haibach,Retail,http://www.adler.de
ADLER REAL ESTATE,910,Hamburg,Property Services,http://www.adler-ag.de
ADM GERMANY,1633,Hamburg,Wholesale,http://www.adm.com
ADN-ADVANCED DIGITAL NETWORK DISTRIBUTION,457,Bochum,Wholesale,http://www.adn.de
ADVANTEST EUROPE,341,Muenchen,Wholesale,http://www.advantest.de
