canonical_CompanyID,companyenrich_id,source_row_numbers,merge_basis,company_name,legal_name,website_url,domain,linkedin_company_url,linkedin_slug,linkedin_page_type,headquarters_city,headquarters_region,headquarters_country,headquarters_country_code,headquarters_display,locations_json,industry,industries_json,categories_json,company_type,employee_count,employee_count_range,employee_count_source,linkedin_follower_count,founded_year,revenue_range,description,seo_description,keywords_json,technologies_json,subsidiaries_json,naics_codes_json,financial_json,socials_json,logo_url,logo_source,page_rank,record_sources,linkedin_page_valid,enrichment_status,last_enriched_at
canonical-355603798110663f,,[7001],unique,1&1 telecommunication se,,,,https://www.linkedin.com/company/1und1de,1und1de,company,,,,,,,telecommunications,"[""telecommunications""]",,,,,,,,,,,,,,,,,https://media.licdn.com/dms/image/v2/D4E0BAQEN2dgi-LilPg/company-logo_100_100/company-logo_100_100/0/1685429123510/1und1de_logo?e=2147483647&v=beta&t=ZKbJVWNlxxlya6OSquDOvMvNqoINrIsyRU_F6fq7y-8,LinkedIn,,"[""FreeCompany""]",,skipped_no_logo,2026-08-16T21:36:56Z
canonical-9c0920083f2ebbbb,0192504b-cdd7-7691-a7d5-741c8b66540a,[3063],unique,Aareon,Aareon AG,https://aareon.de,aareon.de,https://www.linkedin.com/company/aareon-dach,aareon-dach,company,mainz,Rhineland-Palatinate,Germany,DE,"Isaac-Fulda-Allee 6, 55124 Mainz, Germany","[{""address"":""Isaac-Fulda-Allee 6, 55124 Mainz, Germany"",""city"":{""id"":39644,""latitude"":49.98419,""longitude"":8.2791,""name"":""Mainz""},""country"":{""code"":""DE"",""latitude"":51,""longitude"":9,""name"":""Germany""},""phone"":""+49 6131 301-0"",""postal_code"":""55124"",""state"":{""code"":""RP"",""id"":1386,""latitude"":50.118347,""longitude"":7.308953,""name"":""Rhineland-Palatinate""}}]",software,"[""information technology and services"",""Software"",""Media & Internet/Data Collection & Internet Portals"",""Business Services/Custom Software & IT Services""]","[""b2b"",""saas""]",public,,201-500,companyenrich,,1957,,"Aareon is a Europe-based provider of SaaS solutions for the real estate industry, enabling digital transformation across residential and commercial property management. The company offers an integrated Property Management System and a family of products designed to digitize and automate core real estate processes, from portfolio planning to tenant and maintenance management. Aareon serves housing associations, property managers, owners, and investors across European markets, helping them manage data, enhance transparency, and improve outcomes for buildings and residents.","Aareon ist Europas etablierter Anbieter von SaaS-Lösungen für die Immobilienwirtschaft und Wegbereiter für die digitale Zukunft der Branche. Durch die Verbindung von Menschen, Prozessen und Immobilien schafft Aareon ein eng vernetztes immobilienwirtschaftliches Ökosystem. Unser Property Management System bietet intelligente Softwarelösungen, um Immobilien effizient zu verwalten und instand zu halten sowie alle Beteiligten digital einzubinden. Als verlässlicher und innovativer Partner setzen wir uns leidenschaftlich für nachhaltige Wohn- und Arbeitsräume ein.Mit einem engagierten Team von rund 2.000 Mitarbeitenden erzielte Aareon im Jahr 2023 einen Umsatz von 410 Millionen Euro (pro forma) und ein Adjusted EBITDA von 137 Millionen Euro (pro forma). Impressum: https://www.aareon.de/Impressum.46026.htmlNetiquette: https://www.aareon.de/sixcms/media.php/id342276","[""property management"",""real estate ERP"",""portfolio management"",""maintenance planning"",""tenant portals"",""owner associations"",""property management system"",""work order management"",""sustainability planning"",""digitalisation of real estate"",""housing associations"",""commercial real estate"",""tenant communications"",""vendor and supplier management"",""asset management"",""data centralization"",""single source of truth"",""digital transformation in real estate"",""european real estate""]","[""Outlook"",""Microsoft Office 365"",""Citrix"",""Angular JS v1"",""Hubspot"",""Zendesk"",""Apache"",""Matomo""]",,"[""511210"",""518210"",""541511"",""541512""]","{""funding"":[{""amount"":null,""date"":""2020-08-14T00:00:00"",""from"":""Advent International"",""type"":""Private Equity Round - Aareon"",""url"":null}],""funding_date"":""2020-08-14T00:00:00"",""funding_stage"":""private_equity"",""stock_exchange"":null,""stock_symbol"":null,""total_funding"":null}","[{""angellist_url"":null,""crunchbase_url"":""https://www.crunchbase.com/organization/aareon"",""facebook_url"":""https://www.facebook.com/AareonDeutschlandGmbH"",""g2_url"":null,""github_url"":null,""instagram_url"":null,""linkedin_id"":""66703"",""linkedin_url"":""https://www.linkedin.com/company/aareon"",""twitter_url"":""https://twitter.com/Aareon"",""youtube_url"":""https://youtube.com/aareondach""}]",https://api.companyenrich.com/companies/logo/0192504b-cdd7-7691-a7d5-741c8b66540a,companyenrich_autocomplete,2.8859549,"[""Gigasheet""]",,succeeded,2026-08-16T22:38:56Z
canonical-2b2442b980aeb9a9,,[2339],unique,1&1 VERSATEL DEUTSCHLAND,,https://www.versatel.de,versatel.de,,,,Duesseldorf,,,,,,business services,"[""Business Services""]",,,,,,,,,,,,,,,,,,,,"[""BissCareers""]",,skipped_no_logo,2026-08-16T21:36:56Z
canonical-ace3aca1352dd42c,0192531d-c829-7b41-9433-b096da3722c4,,companyenrich_id|domain,ACO,,https://www.aco.com,aco.com,https://www.linkedin.com/company/aco-group,aco-group,company,Buedelsdorf,Schleswig-Holstein,Germany,DE,"Am Ahlmannkai 24, 24782 Büdelsdorf, Germany","[{""address"":""Am Ahlmannkai 24, 24782 Büdelsdorf, Germany"",""city"":{""id"":40879,""latitude"":54.31844,""longitude"":9.67295,""name"":""Büdelsdorf""},""country"":{""code"":""DE"",""latitude"":51,""longitude"":9,""name"":""Germany""},""phone"":""+49 4331 354-0"",""postal_code"":null,""state"":{""code"":""SH"",""id"":1390,""latitude"":54.219368,""longitude"":9.696116,""name"":""Schleswig-Holstein""}}]",manufacturing,"[""Leather"",""Stone"",""Clay & Glass products"",""Manufacturing"",""Manufacturing/Plastic, Packaging & Containers"",""Manufacturing/Tires & Rubber"",""Construction/Civil Engineering Construction"",""Retail"",""building materials""]","[""b2b""]",private,,201-500,companyenrich,,1946,over-1b,"ACO is a global WaterTech company specializing in rainwater and wastewater management. The group offers systems and solutions under the ACO WaterCycle for professional drainage, cleaning, and controlled discharge or reuse of water, with a focus on sustainable water infrastructure and urban water management. Headquartered in Germany, ACO operates in over 50 countries and emphasizes innovation, sustainability, and transparent processes to improve water quality and cycle continuity. The company highlights applications in drainage, landscaping, hospitality, data centers, and other sectors through its worldwide references and regional subsidiaries.","ACO Group is a family-owned company based in Rendsburg/Büdelsdorf, Germany, specializing in drainage technology. Founded in 1946, ACO has grown to operate in over 46 countries with 41 production sites and employs around 5,400 people. The company generated sales of approximately €1.14 billion in 2023. ACO offers a range of professional drainage solutions, including drainage channels, oil and grease separators, backflow stop systems, pumps, and pressure-water-tight cellar windows. Their products focus on effective water management, environmental protection, and addressing climate change challenges by facilitating efficient drainage and water reuse. With a history that dates back to the Carlshütte foundry established in 1827, ACO has expanded internationally through innovation and strategic acquisitions. The company serves various sectors, including construction, infrastructure, and environmental services, providing sustainable solutions to meet diverse customer needs.","[""rainwater management"",""wastewater management"",""stormwater drainage"",""drainage systems"",""water cycle"",""sustainable water infrastructure"",""blue-green infrastructure"",""green city"",""urban water management"",""water reuse"",""water treatment"",""premier watertech"",""industrial drainage"",""gastronomy drainage"",""airport drainage"",""landscape drainage"",""gutter and trench drainage"",""oil and sediment separators"",""regional subsidiaries"",""water management"",""sustainable development"",""water recycling"",""pollution prevention"",""smart technology"",""groundwater preservation""]","[""Outlook"",""Microsoft Office 365"",""Zendesk"",""Microsoft Azure Hosting"",""Google Maps"",""Google Font API"",""Hotjar"",""Salesforce"",""Cedexis Radar"",""Apple-Business-Manager"",""Caddy"",""Go"",""Google-Analytics"",""Google-Tag-Manager"",""Php"",""Section-Io"",""Typo3-Cms""]","[""acobd.co.uk"",""aco.bg"",""acocan.ca"",""aco.ch"",""aco.lv"",""aco.nl"",""aco.dk"",""aco-nordic.se"",""aco.at"",""aco.ro"",""aco.com.tr"",""aco.co.uk"",""acousa.com""]","[""326122"",""326199"",""237110"",""423720""]","{""funding"":null,""funding_date"":null,""funding_stage"":null,""stock_exchange"":""other"",""stock_symbol"":null,""total_funding"":null}","[{""angellist_url"":null,""crunchbase_url"":null,""facebook_url"":""https://www.facebook.com/aco/"",""g2_url"":null,""github_url"":null,""instagram_url"":""https://www.instagram.com/aco_group/"",""linkedin_id"":""971002"",""linkedin_url"":""https://www.linkedin.com/company/aco-group"",""twitter_url"":""https://twitter.com/aco_gruppe"",""youtube_url"":""https://www.youtube.com/@aco""}]",https://api.companyenrich.com/companies/logo/0192531d-c829-7b41-9433-b096da3722c4,companyenrich_autocomplete,2.5516744,"[""BissCareers"",""Gigasheet""]",,succeeded,2026-08-16T22:13:53Z
canonical-0f475e806b3c4b65,019259db-011b-76bc-b40f-b7125fa02d36,"[3134,3885]",companyenrich_id,Omexom,,https://actemium.de,actemium.de,https://www.linkedin.com/company/actemium-deutschland,actemium-deutschland,company,frankfurt am main,Lower Saxony,Germany,DE,"Omexom Service GmbH, Otto-Hahn-Straße 69, 48529 Nordhorn-Siedlung, Deutschland","[{""address"":""Omexom Service GmbH, Otto-Hahn-Straße 69, 48529 Nordhorn-Siedlung, Deutschland"",""city"":{""id"":38332,""latitude"":52.43081,""longitude"":7.06833,""name"":""Nordhorn""},""country"":{""code"":""DE"",""latitude"":51,""longitude"":9,""name"":""Germany""},""phone"":""+49 7937 236949-0"",""postal_code"":""12526"",""state"":{""code"":""NI"",""id"":1383,""latitude"":52.636703,""longitude"":9.845077,""name"":""Lower Saxony""}}]",construction,"[""industrial automation"",""Construction"",""Construction/Civil Engineering Construction"",""Construction/Commercial & Residential Construction"",""Construction/Architecture, Engineering & Design"",""Energy, Utilities & Waste/Electricity, Oil & Gas"",""utilities""]","[""b2b"",""service-provider""]",public,,201-500,companyenrich,,2000,,"Omexom is the brand for energy infrastructures of VINCI Energies. The company designs, builds, and maintains energy infrastructure projects across generation, transmission, transformation, and distribution, offering local solutions from electric vehicle charging to smart city applications. With a presence in Germany, Omexom operates a network of sites and services to plan, construct, and maintain critical electrical networks tailored to customer needs.","Bei uns dreht sich alles um Energie.Von der Erzeugung, Übertragung, Umwandlung bis hin zur Verteilung von Energie plant und errichtet Omexom die kompletten Infrastrukturanlagen. Lokale Lösungen von der E-Tankstelle bis zu Smart City Solutions gehören ebenfalls zum Omexom-Portfolio. Omexom kümmert sich dabei nicht nur um die Planung und Errichtung von Anlagen, sondern ebenso um die laufende Wartung und Instandhaltung – ganz an den Bedürfnissen der Kund:innen ausgerichtet.Omexom - Flexibel wie der Mittelstand und kraftvoll wie die Großen.Omexom ist die Marke für Energie-Infrastrukturen von VINCI Energies, die mit 85.700 Mitarbeitenden in 57 Ländern einen Umsatz reichlich 15 Mrd. € erzielt. Omexom erwirtschaftet weltweit in 37 Ländern mit mehr als 23.500 Mitarbeitenden einen Umsatz in Höhe von knapp 4 Mrd. € und befindet sich stets auf Wachstumskurs.Bei uns finden Sie eine verantwortungsvolle und herausfordernde Tätigkeit in einem international wachsenden Unternehmen, das Ihnen eine fachliche und persönliche Weiterentwicklung bietet. Wir suchen Mitarbeitende in den folgenden Bereichen:- Absolventen von Ingenieurstudiengängen m/w/d- Projektleiter m/w/d- Bauleiter m/w/d- Facharbeiter für die Sparten Strom, Gas, Wasser, Fernwärme m/w/d- Projektkaufleute m/w/d- Führungskräfte m/w/doder Initiativbewerbung: https://omexom.softgarden.io/de/vacanciesInformationen gemäß § 5 Telemediengesetz:https://www.omexom.de/impressum/Omexom Service GmbHParadiesstraße 208a12526 Berlin DeutschlandT +49 30 67983-161F +49 30 67983-197http://www.omexom.de Allgemeine Geschäftsbedingungen https://www.omexom.de/downloads/","[""energy infrastructure"",""power generation"",""transmission system"",""electricity distribution"",""transformer substations"",""smart city solutions"",""e-mobility charging"",""grid maintenance"",""infrastructure monitoring"",""demand-side management"",""urban energy solutions"",""industrial electrical infrastructure"",""utility-scale projects"",""grid modernization"",""transmission"",""distribution"",""maintenance"",""engineering"",""project management"",""energy""]","[""Outlook"",""Microsoft Office 365"",""Microsoft Azure Hosting"",""Google Maps"",""Mobile Friendly"",""WordPress.org"",""Apache"",""Microsot-365"",""Mysql"",""Php"",""Wordpress"",""Yoast-Seo""]",,"[""237130"",""238210"",""541330"",""221112"",""221122""]","{""funding"":null,""funding_date"":null,""funding_stage"":null,""stock_exchange"":null,""stock_symbol"":null,""total_funding"":null}","[{""angellist_url"":null,""crunchbase_url"":null,""facebook_url"":""https://www.facebook.com/OmexomDeutschland"",""g2_url"":null,""github_url"":null,""instagram_url"":""https://www.instagram.com/omexom_deutschland/"",""linkedin_id"":""5183312"",""linkedin_url"":""https://www.linkedin.com/company/omexom-deutschland"",""twitter_url"":""https://twitter.com/OmexomD"",""youtube_url"":""https://www.youtube.com/channel/UCMmma5-F1PpAr0e2_qU9p6w""}]",https://api.companyenrich.com/companies/logo/01925658-a36e-72a4-8ce9-ded96a77814d,companyenrich_autocomplete,1.6602597,"[""Gigasheet""]",,succeeded,2026-08-16T22:38:56Z
canonical-4e42319e60cd4d05,01925293-3b27-79a6-8c53-1b0d916c851a,"[23,3741]",companyenrich_id|domain,adesso,,https://www.adesso.de,adesso.de,https://www.linkedin.com/company/adesso-se,adesso-se,company,Dortmund,North Rhine-Westphalia,Germany,DE,"Adessoplatz 1, Dortmund, Nordrhein-Westfalen, Germany","[{""address"":""Adessoplatz 1, Dortmund, Nordrhein-Westfalen, Germany"",""city"":{""id"":38923,""latitude"":51.51494,""longitude"":7.466,""name"":""Dortmund""},""country"":{""code"":""DE"",""latitude"":51,""longitude"":9,""name"":""Germany""},""phone"":""+49 231 7000-7000"",""postal_code"":""44269"",""state"":{""code"":""NW"",""id"":1385,""latitude"":51.433235,""longitude"":7.661594,""name"":""North Rhine-Westphalia""}}]",business services,"[""Business Services"",""Business Services/Custom Software & IT Services"",""Business Services/Facilities Management & Commercial Cleaning"",""Business Services/Management Consulting"",""Business Services/Research & Development"",""information technology and services""]","[""b2b"",""b2g"",""service-provider""]",public,,1k-5k,companyenrich,,1997,1m-10m,"adesso is a leading German-speaking IT service provider offering consulting and software development to drive project success and future-proof applications. The company operates across Europe with a focus on digital transformation, IT management consulting, and multi-industry solutions including manufacturing, automotive, finance, healthcare, and public sector. It emphasizes digital sovereignty, cybersecurity, data-driven approaches, and customer-centric digital experiences. With a broad portfolio of technology platforms and industry expertise, adesso aims to help organizations grow securely and efficiently.","adesso SE is one of Germany's largest independent IT service providers, with a strong presence in the German-speaking region and expanding into Asia. The company employs over 10,700 people across more than 60 locations and is projected to generate around 1.3 billion euros in revenue in 2024. The company specializes in IT consulting and custom software development, focusing on optimizing core business processes for various industries and public administrations. adesso offers services such as digital transformation support, process optimization, and vendor-neutral technology consulting. They also provide ready-to-use software products and a growing portfolio of proprietary, industry-specific solutions. Their commitment to aligning technology with human needs helps clients achieve long-term competitive advantages and secure growth.","[""digital sovereignty"",""it transformation"",""data governance"",""data analytics"",""security services"",""smartshore"",""digital manufacturing"",""manufacturing industry"",""healthcare"",""banking and financial services"",""retail"",""public administration"",""life sciences"",""automotive"",""customer experience"",""digital experience"",""enterprise software modernization"",""sustainable business"",""it management consulting"",""it services"",""business process optimization"",""technology solutions"",""enterprise software"",""consulting"",""digital transformation""]","[""Microsoft Office 365"",""Sendgrid"",""Outlook"",""Hubspot"",""Jira"",""Atlassian Confluence"",""Apache"",""Apple-Business-Manager"",""Cloudflare-Cdn"",""Google-Analytics"",""Google-Tag-Manager"",""Hotjar"",""Java"",""Matomo"",""Nginx"",""Section-Io""]","[""adesso-service.com"",""adesso.at"",""adesso-insure.de"",""adesso-mobile.de"",""adesso.ch""]","[""541511"",""541512"",""541513"",""541618"",""541611""]","{""funding"":null,""funding_date"":null,""funding_stage"":null,""stock_exchange"":""otc"",""stock_symbol"":""ADSGF"",""total_funding"":null}","[{""angellist_url"":null,""crunchbase_url"":null,""facebook_url"":""https://www.facebook.com/adessoSE/"",""g2_url"":null,""github_url"":null,""instagram_url"":""https://www.instagram.com/adesso_se/"",""linkedin_id"":""41629"",""linkedin_url"":""https://www.linkedin.com/company/adesso-se"",""twitter_url"":""https://twitter.com/quadoxAG"",""youtube_url"":""https://www.youtube.com/@adessoSE""}]",https://api.companyenrich.com/companies/logo/01925293-3b27-79a6-8c53-1b0d916c851a,companyenrich_autocomplete,3.2313783,"[""BissCareers"",""Gigasheet""]",,succeeded,2026-08-16T22:13:53Z
canonical-c9eed12ecded0502,019256a0-153a-7a33-b7eb-2916905051b6,"[4031,7388]",linkedin_url,Munich Airport,,https://aeroground.de,aeroground.de,https://www.linkedin.com/company/aeroground-gmbh,aeroground-gmbh,company,munich,Bavaria,Germany,DE,"Nordallee 25, Munich, Bavaria, Germany","[{""address"":""Nordallee 25, Munich, Bavaria, Germany"",""city"":{""id"":36336,""latitude"":48.13743,""longitude"":11.57549,""name"":""Munich""},""country"":{""code"":""DE"",""latitude"":51,""longitude"":9,""name"":""Germany""},""phone"":""+49 89 975222"",""postal_code"":""85356"",""state"":{""code"":""BY"",""id"":1377,""latitude"":48.790447,""longitude"":11.4978895,""name"":""Bavaria""}}]",transportation,"[""airlines/aviation"",""Transportation"",""Transportation/Airlines, Airports & Air Services""]","[""b2c"",""service-provider""]",self-owned,,501-1k,companyenrich,,1949,over-1b,"Munich Airport is the official portal for Flughafen München, detailing flight schedules, arrivals and departures, terminal information, airport services, parking, and visitor information. The site covers passenger guidance, traveling tips, and facilities such as shops and restaurants across the Munich airport campus in Germany. It also highlights corporate information under the Munich Airport GmbH group, career opportunities, press releases, newsroom content, and accessibility resources for travelers. The airport serves as a major aviation hub in Bavaria, connecting Munich to destinations worldwide.","Fascinatingly diverse. The Employer Munich AirportDynamic growth, strong partnerships, cutting-edge innovations: Munich is one of the world´s most successful airports. That is down to our employees, who work with passion, appeal and farsightedness. We will continue to grow in future and write further chapters in our airport´s success story. To do that, we need competent colleagues. People who like to shoulder responsibility, initiate innovations and enhance our partnerships.The M stands for a company whose diversity is unique. That means you have opportunities to develop in just about all professional disciplines.Our company at a glanceTogether with our 18 subsidiaries, we operate the second-largest airport in germany. Munich Airport ist also one of the largest places of work in Bavaria – a strong partner to the region with many interesting jobs and activities.Our employees: The focus of what we doIdentifiying potential, promoting employees´ further development, securing their employability and fostering a work-life balance: We at Munich Airport use standard concepts and tailored solutions alike to achieve that. It is often the small things that make the crucial difference for our employees.Legal notice: www.munich-airport.com/legal-notice-376589Privacy policy: www.munich-airport.com/privacy-policy-376755","[""munich airport"",""flight timetable"",""arrivals and departures"",""parking at airport"",""shops at airport"",""restaurants at airport"",""terminal information"",""airport services"",""passenger information"",""travel tips munich"",""airport newsroom"",""airport academy"",""corporate information"",""bavaria aviation"",""airport accessibility"",""flight plan"",""international flights"",""airline partnerships"",""travel guidance"",""airport"",""transportation"",""aviation"",""employment"",""innovation"",""partnerships""]","[""Salesforce"",""Microsoft Office 365"",""Outlook"",""VueJS"",""AWS SDK for JavaScript"",""Hubspot"",""Adobe Media Optimizer"",""iTunes"",""Phusion Passenger"",""Google-Tag-Manager"",""Nginx"",""Plesk"",""Ruby"",""Ruby-On-Rails""]",,"[""488119""]","{""funding"":null,""funding_date"":null,""funding_stage"":null,""stock_exchange"":null,""stock_symbol"":null,""total_funding"":null}","[{""angellist_url"":null,""crunchbase_url"":null,""facebook_url"":""https://facebook.com/flughafenmuenchen"",""g2_url"":null,""github_url"":null,""instagram_url"":""https://instagram.com/munich_airport"",""linkedin_id"":""75868"",""linkedin_url"":""https://www.linkedin.com/company/munich-airport"",""twitter_url"":""https://twitter.com/muc_airport"",""youtube_url"":""https://youtube.com/user/mucairport""}]",https://api.companyenrich.com/companies/logo/019252b8-53ed-7d00-9e8f-f73f2d716506,companyenrich_autocomplete,3.131094,"[""Gigasheet"",""FreeCompany""]",,succeeded,2026-08-16T22:38:56Z
canonical-0d6aa2df98c73ca7,,[7814],unique,100 gramm bar,,,,https://www.linkedin.com/company/100-gramm-bar,100-gramm-bar,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""FreeCompany""]",,skipped_no_logo,2026-08-16T21:36:56Z
canonical-ea1f46d8a9e4ec1d,,[7218],unique,11teamsports group,,,,https://www.linkedin.com/company/11teamsports-group,11teamsports-group,company,,,,,,,retail,"[""retail""]",,,,,,,,,,,,,,,,,,,,"[""FreeCompany""]",,skipped_no_logo,2026-08-16T21:36:56Z
canonical-97b485aedb9b5425,01924a03-d184-7c17-a899-d2640e6eac69,"[2639,4190]",linkedin_url,Alfing,,https://alfing.de,alfing.de,https://www.linkedin.com/company/maschinenfabrik-alfing-kessler,maschinenfabrik-alfing-kessler,company,Aalen,Baden-Württemberg,Germany,DE,"Auguste-Kessler-Straße 20, 73433 Aalen","[{""address"":""Auguste-Kessler-Straße 20, 73433 Aalen"",""city"":{""id"":34436,""latitude"":48.83777,""longitude"":10.0933,""name"":""Aalen""},""country"":{""code"":""DE"",""latitude"":51,""longitude"":9,""name"":""Germany""},""phone"":""+49 (0) 7361 / 5010"",""postal_code"":""73433"",""state"":{""code"":""BW"",""id"":1376,""latitude"":48.661602,""longitude"":9.350134,""name"":""Baden-Württemberg""}}]",manufacturing,"[""machinery"",""Manufacturing"",""Manufacturing/Industrial Machinery & Equipment"",""Manufacturing/Automotive Parts""]","[""b2b""]",private,,51-200,companyenrich,,1911,,"Alfing is a company that specializes in producing various mechanical components, including crankshafts, rotationally symmetrical parts, cubic parts, and hardness machines.","Die Maschinenfabrik ALFING Kessler GmbH steht für höchste Kompetenz beim Schmieden, der Wärmebehandlung, Zerspanung und Montage von präzisen Bauteilen. Als modernes und kundenorientiertes Familienunternehmen, das mit seinem breiten Angebotsspektrum auf den Weltmärkten vertreten ist, gilt die Maschinenfabrik ALFING Kessler GmbH mit Standort in Aalen-Wasseralfingen als Hidden Champion.Auf einer Produktionsfläche von mehr als 150.000 m² finden sich hochmoderne Produktionseinrichtungen und Technologiebereiche, die in Verbindung mit erfahrenen und qualifizierten Mitarbeitern eine wichtige Voraussetzung für die Leistungsfähigkeit des Unternehmens sind. ALFING ist der weltweit größte Großkurbelwellenhersteller im Längenbereich 1,5 bis 8 m (Motorenleistung 1 bis 12 MW). Im Geschäftsbereich Automotive ist die Maschinenfabrik ALFING Kessler GmbH ein langjähriger, gefragter Partner traditionsreicher Marken und exklusiver Hersteller europaweit.Seit der Gründung 1911 wurden mehr als 10 Mio. Kurbelwellen und anspruchsvolle Bauteile verkauft. Verlässlichkeit bei intensiver Beanspruchung und höchste Qualität sind die Basis. Der Bereich Härtemaschinen gründet auf der langjährigen Erfahrung, die ALFING beim Härten von rotationssymmetrischen Teilen gesammelt hat. In mehr als 60 Jahren wurden über 500 Härteanlagen produziert. Die ALFING Härtemaschinen werden in der eigenen Fertigung eingesetzt und mit großem Erfolg an Kunden weltweit verkauft.Mit dem Fachwissen, der großen Erfahrung und technischen Möglichkeiten erweitert die Maschinenfabrik ALFING ständig ihr Produktportfolio für die vielfältigsten Applikationen in verschiedenen Branchen.Die starke Marktstellung des Familienunternehmens Maschinenfabrik ALFING Kessler beruht nicht zuletzt auch auf der Zuverlässigkeit der erfahrenen und qualifizierten Mitarbeiter, ihrer Verbundenheit mit dem Unternehmen und ihrer systematischen Aus- und Weiterbildung.https://mafade.alfing.de/rechtliches/impressum.html","[""mechanical components"",""crankshafts"",""rotationally symmetrical parts"",""cubic parts"",""hardness machines"",""machinery"",""precision engineering"",""manufacturing"",""assembly solutions"",""industrial technology""]","[""Microsoft Office 365"",""Amazon AWS"",""SendInBlue"",""Nginx"",""Mobile Friendly"",""Google Maps"",""Bootstrap Framework"",""Apache""]",,"[""333517"",""336399"",""332710""]","{""funding"":null,""funding_date"":null,""funding_stage"":null,""stock_exchange"":null,""stock_symbol"":null,""total_funding"":null}","[{""angellist_url"":null,""crunchbase_url"":null,""facebook_url"":null,""g2_url"":null,""github_url"":null,""instagram_url"":null,""linkedin_id"":""17986928"",""linkedin_url"":""https://www.linkedin.com/company/maschinenfabrik-alfing-kessler"",""twitter_url"":null,""youtube_url"":null}]",https://api.companyenrich.com/companies/logo/01924a03-d184-7c17-a899-d2640e6eac69,companyenrich_autocomplete,1.3371221,"[""Gigasheet"",""FreeCompany""]",,succeeded,2026-08-16T22:38:56Z
