scope,canonical_job_id,canonical_company_id,company_name,title,canonical_url,source,source_job_id,observed_at,lifecycle_state,application_url,application_classification,description_length,location,in_current_head,status,publishable,reason_codes
all_canonical_jobs,canonical_job_01a3ff90ef5949cf986d174555d596da,516fff5d-e011-5bc5-8104-f13cfe755ef8,NOVENTI Health SE,"Kundentrainer Apothekensoftware im Außendienst (m/w/d), Baden-Württemberg, Bayern, Sachsen, Thüringen, Home-Office",https://linkedin.com/jobs/view/4456224495,linkedin,4456224495,2026-09-09T18:35:22Z,active,https://de.linkedin.com/jobs/view/kundentrainer-apothekensoftware-im-au%C3%9Fendienst-m-w-d-baden-w%C3%BCrttemberg-bayern-sachsen-th%C3%BCringen-home-office-at-noventi-health-se-4456224495,unknown,4857,"Rheinfelden (Baden), Baden-Württemberg, Germany",False,publishable_complete,True,
all_canonical_jobs,canonical_job_02c4e18297614f4cb7a95f8338198a53,canonical_company_4a5b5fd89bd7467d9ce2f7fc1ad64bf8,RheinGroup,SALES MANAGER*IN / VERKÄUFER/*IN NEUE AUTOMOBILE BMW (M/W/D),https://api.smartrecruiters.com/v1/companies/RheinGroup/postings/744000141724093,smartrecruiters,744000141724093,2026-08-11T10:52:32.536688+00:00,unknown,https://api.smartrecruiters.com/v1/companies/RheinGroup/postings/744000141724093,ats_job_detail,0,,False,not_publishable_invalid,False,listing_fallback_application_url;missing_description;missing_location
all_canonical_jobs,canonical_job_033511d8f3f34380af24957828333c23,canonical_company_81afe95c59884e4e92645c472736cf4f,Qonto,Growth Project Manager,https://jobs.lever.co/qonto/c087ac46-54ac-4227-b9ef-5a377c35b9ab,lever,c087ac46-54ac-4227-b9ef-5a377c35b9ab,2026-08-11T10:48:25.422697+00:00,closed,https://jobs.lever.co/qonto/c087ac46-54ac-4227-b9ef-5a377c35b9ab/apply,ats_application,5572,Paris,False,stale_or_closed,False,closed_lifecycle_state
all_canonical_jobs,canonical_job_03c5c9b3c4704bf0bfeedd3952afc39f,canonical_company_2a7b991c77ba4429b8c68635cbd4b4d5,LIQUI MOLY,LKW Fahrer fÃ¼r den Regionalverkehr R250104 (m/w/d),https://liqui-moly-gmbh.jobs.personio.com/job/2127506,personio,2127506,2026-08-11T14:30:34.472784+00:00,stale,https://liqui-moly-gmbh.jobs.personio.com/job/2127506,ats_job_detail,318,Saarlouis,False,not_publishable_invalid,False,listing_fallback_application_url
all_canonical_jobs,canonical_job_044f83a6e602468392889505f34ddb32,canonical_company_1af6aeacad9541e98332041bcec6a981,RheinGroup,SMART-REPAIR UND DELLENTECHNIKER*IN (M/W/D) BMW und MINI,https://api.smartrecruiters.com/v1/companies/RheinGroup/postings/744000143119850,smartrecruiters,744000143119850,2026-08-13T00:07:47.307347+00:00,unknown,https://api.smartrecruiters.com/v1/companies/RheinGroup/postings/744000143119850,ats_job_detail,0,,False,not_publishable_invalid,False,listing_fallback_application_url;missing_description;missing_location
current_head,canonical_job_0457a678408e4695b746091254505fba,canonical_company_81afe95c59884e4e92645c472736cf4f,Qonto,Fraud Analyst - German Market 🇩🇪,https://jobs.lever.co/qonto/07a32c31-a3b4-43f8-b1af-5b02c2768eef,lever,07a32c31-a3b4-43f8-b1af-5b02c2768eef,2026-08-11T10:48:25.422697+00:00,stale,https://jobs.lever.co/qonto/07a32c31-a3b4-43f8-b1af-5b02c2768eef/apply,ats_application,3873,Barcelona,True,publishable_complete,True,
all_canonical_jobs,canonical_job_0460d94a1b7144988984dcee81269270,canonical_company_5b6d68c5cb08484885e18d23e6af7812,N26,Audit Operations Senior Manager,https://n26.com/en-eu/careers/positions/7758692?gh_jid=7758692,greenhouse,7758692,2026-08-11T10:43:15.627658+00:00,active,https://n26.com/en-eu/careers/positions/7758692?gh_jid=7758692,employer_job_detail,6934,Berlin,False,not_publishable_invalid,False,listing_fallback_application_url
all_canonical_jobs,canonical_job_046d170a27c941d2a73a8ee696df2815,canonical_company_5974ee132b48464d817153a1e0021061,Siemens,Werkstudent (w/m/d) Project & Digitalization Support,https://siemens.com/de/de/home/unternehmen/jobs/arbeiten-bei-siemens/jobs-ohne-barrieren.html,generic_jsonld,515264,2026-08-10T20:49:22.006322+00:00,unknown,https://jobs.siemens.com/en_US/externaljobs/ApplicationMethods?folderId=515264,employer_application,5142,Nuremberg - - Germany,False,publishable_complete,True,
all_canonical_jobs,canonical_job_0520d84cb4cb472a86f91348f1b6fe77,canonical_company_1af6aeacad9541e98332041bcec6a981,RheinGroup,KFZ-MECHATRONIKER*IN (M/W/D) BMW UND MINI,https://api.smartrecruiters.com/v1/companies/RheinGroup/postings/744000144032374,smartrecruiters,744000144034069,2026-08-19T00:11:41.642905+00:00,unknown,https://api.smartrecruiters.com/v1/companies/RheinGroup/postings/744000144034069,ats_job_detail,0,,False,not_publishable_invalid,False,listing_fallback_application_url;missing_description;missing_location
all_canonical_jobs,canonical_job_060ea290028a45b38ee498314f8f13d7,canonical_company_e27024a9a0874a98aa93924783696cd8,Reprocessing fixture,Backend Engineer,https://jobs.example.com/1,career_site,fixture-1,2026-08-11T15:25:41.013721+00:00,active,https://jobs.example.com/1,unknown,15,Berlin,False,not_publishable_invalid,False,insufficient_description
all_canonical_jobs,canonical_job_07a0e8d504bc4731b67726c422b00977,canonical_company_45a0d744ee9c4ecfba7cf863f50ffd55,die Bayerische,Initiativbewerbung,https://diebayerische.recruitee.com/o/initiativbewerbung,recruitee,1825476,2026-08-11T10:53:54.914411+00:00,active,https://diebayerische.recruitee.com/o/initiativbewerbung,ats_job_detail,2503,München,False,not_publishable_invalid,False,listing_fallback_application_url
