external_job_id,canonical_job_id,in_head
7965433,canonical_job_86bfd32aa8764257807f636dd0b41874,1
7989409,canonical_job_2a156dda2c5b43868de302bf236034de,1
7758692,canonical_job_0460d94a1b7144988984dcee81269270,1
7992781,canonical_job_3b859a07e34a4328ab218919257c0149,1
7996816,canonical_job_f0a718d36a934cd5856b9246c7873072,0
7925103,canonical_job_fdf4b0365a4f49c297f62e0dfefcde50,1
8020517,canonical_job_7817727bbbbc47dfb0d43b344ebe181f,1
8064019,canonical_job_554afd43fa894171bc04f22e18c9cd26,1
7899294,canonical_job_2a6f921372e946b8b1443b0a4f20aa50,1
7960138,canonical_job_50207ec9e6f24fe0a8d6f48a520761de,1
7784739,canonical_job_098342f21e324b689aa907cccdc9a971,1
8083090,canonical_job_80beeedf452c4af79a09503e4c39b4c7,1
7992958,canonical_job_95640904c7be4c9b9db714952f7f42e4,0
8076631,canonical_job_5d5b2ff560c246cab268e033320d2a4b,1
8077056,canonical_job_49dd4d8966ee469faf3176be598d7b21,1
8090480,canonical_job_adff5ed4422f45b7891b8d4c07dda572,1
8108366,canonical_job_60d5da70fe8e44ee9254fceb3f1c3bdd,1
8053205,canonical_job_51b0431b13d54a27b12a06c761578e1b,0
8025879,canonical_job_37b9c269dabd437890207723167830cd,0
7988511,canonical_job_f18a1cf90c7b43409789014fc07e2b9c,1
7845570,canonical_job_47cf7f301e0348f780e95f23ad83532d,1
8059505,canonical_job_57e9a24f52554c858d7da87f0d822dff,0
8009935,canonical_job_098b82b3901446fbabc939965414e914,1
8079658,canonical_job_f243700a1a3740e59e8fac92bbe1531e,1
8108374,canonical_job_e2aa3e047771437d8f0da30ff40d239a,1
7992499,canonical_job_1779333fab0749f2a8ec86fb5cf8c55b,1
7472435,canonical_job_4d683aacb5654088862bf6c067bedc5d,1
8020406,canonical_job_edc02435f76b45299f4342b74d0d31f6,1
8066517,canonical_job_477623c75aea4e97ab521067a49abf03,1
8018080,canonical_job_bbc664aea92047a2bf1ddb67be148ddd,1
7552415,canonical_job_523adc88c4ce41e8b257627d3d9fd0e6,1
7563017,canonical_job_2e9142bd45b24f63ba288b15a3e89818,1
7771701,canonical_job_16b16fa634864758950a76ea915d7e85,1
7981865,canonical_job_cd68bc1d13ea4342bf308bf79d33cf4c,1
8053548,canonical_job_84bc5d42c15e41e296920acd7bae98d3,1
8088746,canonical_job_2f21e0d6c5534fb398edd114fa3ee0e2,1
8074094,canonical_job_21231aae4d9b44a7bf2d56b641828537,1
